Marial Status,Application mode,Application order,Course,Daytime/Evening,Pre Qual,Pre Qual (grade),Nationality,Mom's Qual,Dad's Qual,Mom's Occupation,Dad's Occupation,Admission grade,Displaced,Tuition fees up to date,Gender,Scholarship,Enroll Age,International,1st - credited,1st - enrolled,1st - evaluations,1st - approved,1st - grade,1st - no evaluations,2nd - credited,2nd - enrolled,2nd - evaluations,2nd - approved,2nd - grade,2nd - no evaluations,Target,1st_approval_rate,1st_evaluation_rate,1st_avg_grade,2nd_approval_rate,2nd_evaluation_rate,2nd_avg_grade,delta_approval_rate,delta_avg_grade,age_group
1,0,5,1,1,0,122.0,0,0,1,2,3,127.3,1,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Dropout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,4,1,3,1,0,160.0,0,1,2,1,1,142.5,1,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,Graduate,1.0,1.0,2.3333333333333335,1.0,1.0,2.2777777777777777,0.0,-0.0555555555555558,0
1,0,5,1,1,0,122.0,0,0,0,3,3,124.8,1,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0,2,1,1,0,122.0,0,0,0,2,1,119.6,1,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,Graduate,1.0,1.3333333333333333,1.6785714285714286,0.8333333333333334,1.6666666666666667,1.24,-0.16666666666666663,-0.4385714285714286,0
0,2,1,5,0,0,100.0,0,0,0,3,3,141.5,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,Graduate,0.8333333333333334,1.5,1.3703703703703705,1.0,1.0,2.1666666666666665,0.16666666666666663,0.7962962962962961,3
0,2,1,3,0,0,133.1,0,0,0,3,3,114.8,0,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,Graduate,1.0,2.0,1.1857142857142857,1.0,3.4,0.6764705882352942,0.0,-0.5092436974789916,3
1,0,1,4,1,0,142.0,0,0,0,3,4,128.4,1,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,Graduate,1.0,1.2857142857142858,1.4777777777777779,1.0,1.0,1.793125,0.0,0.3153472222222222,0
1,0,4,3,1,0,119.0,0,0,0,3,3,113.1,1,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Dropout,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1,0,3,5,1,0,137.0,1,1,1,3,3,129.3,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,Graduate,1.0,1.3333333333333333,1.734375,1.0,1.1666666666666667,2.020408163265306,0.0,0.2860331632653059,1
1,0,1,5,1,0,138.0,0,1,0,2,3,123.0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,Dropout,0.8333333333333334,1.5,1.2666666666666666,0.3333333333333333,2.3333333333333335,0.9642857142857143,-0.5,-0.3023809523809523,0
1,0,1,1,1,0,139.0,0,0,0,2,3,130.6,1,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,Graduate,1.0,1.0,2.055555555555556,0.8333333333333334,1.1666666666666667,2.0285714285714285,-0.16666666666666663,-0.026984126984127332,0
1,0,1,4,1,0,136.0,0,0,0,3,3,119.3,1,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,Graduate,0.875,1.0,1.6517857142857142,0.875,1.0,1.6517857142857142,0.0,0.0,0
1,0,2,5,1,0,133.0,0,0,0,2,3,130.2,1,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,Dropout,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2,1,3,1,1,110.0,0,1,1,2,3,111.8,1,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,Graduate,1.0,1.1666666666666667,1.510204081632653,0.8333333333333334,1.3333333333333333,1.375,-0.16666666666666663,-0.13520408163265296,1
1,0,1,2,1,0,149.0,0,0,0,2,2,137.1,1,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,Graduate,0.8,1.4,1.8928571428571428,1.0,1.0,2.4,0.19999999999999996,0.5071428571428571,0
1,0,1,1,1,0,127.0,0,0,0,3,1,120.7,1,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,Dropout,0.8333333333333334,1.0,2.1999999999999997,0.0,1.1666666666666667,0.0,-0.8333333333333334,-2.1999999999999997,0
1,0,1,5,1,0,137.0,0,0,0,2,3,137.4,1,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,Enrolled,0.16666666666666666,1.6666666666666667,1.2,0.3333333333333333,2.3333333333333335,0.7857142857142857,0.16666666666666666,-0.41428571428571426,0
1,0,2,4,1,0,135.0,0,0,1,2,2,127.3,1,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,Graduate,1.0,1.1428571428571428,1.66328125,1.0,1.0,1.818125,0.0,0.15484374999999995,0
1,0,1,2,1,0,137.0,0,2,0,1,2,136.3,1,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,Graduate,0.8,1.6,1.5625,0.8,1.6,1.53125,0.0,-0.03125,0
1,0,1,5,1,0,140.0,0,0,0,3,3,124.6,1,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,Enrolled,0.8571428571428571,1.0,1.6666666666666665,0.8571428571428571,1.1428571428571428,1.6875,0.0,0.02083333333333348,0
1,0,3,1,1,0,122.0,0,1,1,3,3,120.3,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0,4,4,1,0,127.0,0,1,0,2,3,121.8,1,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,Enrolled,1.0,2.0,0.8169642857142857,1.0,1.125,1.2694444444444446,0.0,0.4524801587301589,0
1,0,4,4,1,0,142.0,0,0,0,1,1,125.5,1,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,Graduate,0.875,1.5,1.0714285714285714,0.875,1.5,1.0714285714285714,0.0,0.0,0
1,0,4,1,1,0,125.0,0,1,0,2,3,114.9,1,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,Graduate,1.0,1.3333333333333333,1.671875,1.0,1.1666666666666667,1.7551020408163267,0.0,0.0832270408163267,0
1,0,1,4,1,0,126.0,0,0,0,1,3,123.9,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,Graduate,0.8571428571428571,1.1428571428571428,1.6620833333333336,0.875,1.125,1.5682539682539682,0.017857142857142905,-0.09382936507936535,0
1,0,1,5,1,0,151.0,0,0,0,3,3,157.0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,Enrolled,0.8333333333333334,1.3333333333333333,1.45,0.6666666666666666,2.0,0.9166666666666666,-0.16666666666666674,-0.5333333333333333,0
1,0,2,5,1,0,115.0,0,0,0,3,3,116.4,1,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,Graduate,1.0,1.5,1.2638888888888888,1.0,1.5,1.4761904761904763,0.0,0.21230158730158744,1
1,0,1,2,1,0,138.0,0,0,0,1,1,131.0,1,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,Enrolled,1.0,1.8,1.4074074074074074,0.8,1.4,1.8571428571428572,-0.19999999999999996,0.44973544973544977,0
1,0,1,3,1,0,135.0,0,0,1,3,3,122.1,1,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,Graduate,1.0,1.2,2.0,1.0,1.2,2.055555555555556,0.0,0.0555555555555558,0
1,0,2,4,1,0,127.0,0,2,2,1,4,118.8,1,1,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,Enrolled,0.8571428571428571,1.2857142857142858,1.437037037037037,0.8571428571428571,1.0,1.95952380952381,0.0,0.522486772486773,0
1,2,1,2,1,1,150.0,0,3,3,2,1,150.0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,Enrolled,0.8333333333333334,2.5,0.7904761904761906,0.8333333333333334,2.8333333333333335,0.6218487394957983,0.0,-0.16862745098039222,1
1,3,1,1,1,0,125.0,0,2,2,1,1,130.0,1,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,Graduate,1.0,1.1666666666666667,1.8333333333333335,0.6666666666666666,1.5,1.488888888888889,-0.33333333333333337,-0.34444444444444455,0
1,0,1,3,1,0,143.0,0,1,1,2,3,138.8,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,Enrolled,0.6,1.8,1.2592592592592593,0.4,1.6,1.6875,-0.19999999999999996,0.4282407407407407,0
1,0,1,5,0,0,138.0,0,0,1,3,2,134.5,1,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,Graduate,1.0,1.0,2.111111111111111,1.0,1.3333333333333333,1.796875,0.0,-0.31423611111111116,0
1,0,1,3,0,0,130.0,0,2,0,1,3,131.4,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,Graduate,1.0,1.2,2.066666666666667,1.0,1.8,1.492063492063492,0.0,-0.5746031746031748,3
1,2,1,0,1,0,130.0,0,0,0,3,3,102.5,0,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,Dropout,0.0,1.0,0.0,0.14285714285714285,1.0,1.4285714285714286,0.14285714285714285,1.4285714285714286,3
1,2,1,0,1,0,133.1,0,4,0,0,0,128.8,1,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Dropout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1,3,1,3,1,0,140.0,0,0,0,3,3,122.9,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,Dropout,0.2,2.0,1.0,0.4,1.6,1.5,0.2,0.5,3
0,2,1,3,0,0,120.0,0,0,0,3,1,113.9,1,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,Graduate,1.0,1.6,1.375,1.0,1.0,2.32,0.0,0.9449999999999998,3
1,2,1,2,1,1,120.0,1,3,3,1,3,120.0,0,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,Dropout,0.5,2.1666666666666665,0.8974358974358974,0.5,1.8333333333333333,1.0909090909090908,0.0,0.19347319347319347,0
